epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,952.919,1.56961,0.81073,0.88148,0.94164,0.87065,0.90513,0.46945,1.75836,0.88954,0.90117,0.0005941,0.0005941,0.0005941
43,975.02,1.58357,0.80664,0.87892,0.9673,0.85756,0.91693,0.46923,1.778,0.86914,0.90368,0.0005842,0.0005842,0.0005842
44,997.278,1.5958,0.83796,0.8726,0.9341,0.86705,0.91824,0.45544,1.7991,0.89791,0.90817,0.0005743,0.0005743,0.0005743
45,1019.35,1.54326,0.78843,0.88249,0.93564,0.887,0.92082,0.47956,1.76285,0.86297,0.90616,0.0005644,0.0005644,0.0005644
46,1041.64,1.52663,0.78613,0.87062,0.93935,0.887,0.91888,0.47004,1.75484,0.84038,0.91004,0.0005545,0.0005545,0.0005545
47,1064.02,1.59648,0.82092,0.87526,0.93612,0.88238,0.92151,0.46805,1.75201,0.83038,0.9002,0.0005446,0.0005446,0.0005446
48,1086.45,1.53994,0.78425,0.87066,0.94968,0.86879,0.91606,0.47876,1.75979,0.87866,0.90344,0.0005347,0.0005347,0.0005347
49,1108.73,1.51856,0.76999,0.86972,0.9516,0.8893,0.93006,0.47574,1.73934,0.84085,0.89743,0.0005248,0.0005248,0.0005248
50,1131.01,1.5402,0.77066,0.86276,0.93935,0.8733,0.91056,0.47058,1.75633,0.85703,0.89855,0.0005149,0.0005149,0.0005149
51,1153.35,1.52594,0.75594,0.86634,0.94918,0.87531,0.9206,0.46212,1.76706,0.87038,0.90106,0.000505,0.000505,0.000505
52,1175.53,1.53383,0.77217,0.86175,0.92824,0.89004,0.92116,0.47987,1.7152,0.84855,0.89623,0.0004951,0.0004951,0.0004951
53,1197.98,1.52717,0.76551,0.86667,0.95156,0.88564,0.93009,0.47009,1.76316,0.85457,0.90144,0.0004852,0.0004852,0.0004852
54,1220.28,1.50883,0.764,0.85777,0.96677,0.86678,0.92214,0.47314,1.73625,0.85666,0.8977,0.0004753,0.0004753,0.0004753
55,1242.58,1.48726,0.73831,0.86054,0.95588,0.87068,0.9227,0.47755,1.75579,0.85137,0.89853,0.0004654,0.0004654,0.0004654
56,1264.8,1.54577,0.78592,0.85922,0.95495,0.89445,0.93543,0.47092,1.72855,0.83444,0.89948,0.0004555,0.0004555,0.0004555
57,1286.99,1.52251,0.77441,0.85684,0.96239,0.8879,0.92682,0.47468,1.7249,0.8278,0.89704,0.0004456,0.0004456,0.0004456
58,1309.47,1.51067,0.75064,0.85113,0.96425,0.8881,0.92445,0.47687,1.72811,0.81558,0.89797,0.0004357,0.0004357,0.0004357
59,1331.46,1.44005,0.71743,0.85436,0.95839,0.89573,0.92567,0.47718,1.73671,0.82017,0.89837,0.0004258,0.0004258,0.0004258
60,1353.89,1.42516,0.70652,0.85094,0.94341,0.87911,0.9148,0.48105,1.70126,0.81555,0.89506,0.0004159,0.0004159,0.0004159
61,1376.07,1.40146,0.70333,0.85288,0.95597,0.87829,0.91626,0.48282,1.71304,0.81715,0.89675,0.000406,0.000406,0.000406
62,1398.46,1.43379,0.69583,0.85871,0.95294,0.88708,0.92304,0.47208,1.73703,0.81901,0.89678,0.0003961,0.0003961,0.0003961
63,1420.87,1.423,0.70467,0.85329,0.94814,0.89201,0.93498,0.48563,1.70231,0.80086,0.89323,0.0003862,0.0003862,0.0003862
64,1443.01,1.4124,0.69864,0.84627,0.9563,0.88572,0.93163,0.48033,1.70621,0.7985,0.89582,0.0003763,0.0003763,0.0003763
65,1465.07,1.39338,0.6821,0.83985,0.95858,0.88089,0.93157,0.49596,1.68973,0.79638,0.89427,0.0003664,0.0003664,0.0003664
66,1487.47,1.40721,0.68958,0.84093,0.96256,0.87834,0.93473,0.50079,1.66978,0.78252,0.88968,0.0003565,0.0003565,0.0003565
67,1509.79,1.37773,0.68226,0.84602,0.97804,0.87409,0.93834,0.50321,1.67945,0.78515,0.8908,0.0003466,0.0003466,0.0003466
68,1532.07,1.37261,0.67663,0.84567,0.96453,0.88552,0.92614,0.48528,1.7124,0.81203,0.8962,0.0003367,0.0003367,0.0003367
69,1554.31,1.39301,0.67474,0.84155,0.94633,0.89971,0.92518,0.46789,1.74292,0.81665,0.90005,0.0003268,0.0003268,0.0003268
70,1576.44,1.38107,0.68092,0.84739,0.95982,0.88704,0.93035,0.48453,1.73199,0.8126,0.8991,0.0003169,0.0003169,0.0003169
71,1598.51,1.39234,0.68979,0.84437,0.95164,0.89871,0.93264,0.47508,1.72407,0.8057,0.89561,0.000307,0.000307,0.000307
72,1620.93,1.35172,0.67254,0.8413,0.96201,0.88538,0.92499,0.48583,1.7202,0.81247,0.89409,0.0002971,0.0002971,0.0002971
73,1643.23,1.37264,0.66381,0.83734,0.97248,0.88653,0.92715,0.48326,1.71002,0.78963,0.89691,0.0002872,0.0002872,0.0002872
74,1665.45,1.36105,0.669,0.8371,0.96354,0.8971,0.92793,0.48986,1.71012,0.797,0.89526,0.0002773,0.0002773,0.0002773
75,1687.49,1.33835,0.65238,0.83788,0.96055,0.89948,0.93207,0.48901,1.67643,0.77026,0.88998,0.0002674,0.0002674,0.0002674
76,1709.52,1.34981,0.65816,0.83789,0.9642,0.90246,0.93335,0.49288,1.67083,0.76193,0.89263,0.0002575,0.0002575,0.0002575
77,1731.57,1.32424,0.64432,0.83815,0.94526,0.89315,0.92925,0.49184,1.70557,0.77877,0.89247,0.0002476,0.0002476,0.0002476
78,1753.96,1.343,0.65561,0.8316,0.97172,0.89896,0.93965,0.49331,1.68337,0.76944,0.89228,0.0002377,0.0002377,0.0002377
79,1776.33,1.33712,0.64789,0.8367,0.95996,0.90412,0.93608,0.49187,1.71096,0.78465,0.89556,0.0002278,0.0002278,0.0002278
80,1798.72,1.30455,0.63447,0.83171,0.93903,0.90624,0.9309,0.4872,1.70453,0.78267,0.89311,0.0002179,0.0002179,0.0002179
81,1820.82,1.30065,0.62869,0.83316,0.96348,0.88547,0.92689,0.47269,1.73544,0.79182,0.89811,0.000208,0.000208,0.000208
82,1843.03,1.29248,0.62068,0.82993,0.96154,0.89513,0.93037,0.49258,1.69724,0.77836,0.89451,0.0001981,0.0001981,0.0001981
83,1865.64,1.31335,0.63008,0.83076,0.96709,0.88261,0.93262,0.49216,1.69446,0.77855,0.89546,0.0001882,0.0001882,0.0001882
84,1888.08,1.24935,0.61397,0.83429,0.97302,0.89414,0.94179,0.49674,1.69251,0.76984,0.89186,0.0001783,0.0001783,0.0001783
85,1910.42,1.25678,0.60106,0.82628,0.9533,0.90561,0.94065,0.49601,1.71061,0.76273,0.89509,0.0001684,0.0001684,0.0001684
86,1932.59,1.24663,0.60233,0.82879,0.95642,0.91086,0.94408,0.49356,1.71294,0.77488,0.89571,0.0001585,0.0001585,0.0001585
87,1954.68,1.23701,0.58354,0.82786,0.96458,0.89593,0.93898,0.49224,1.72041,0.77261,0.89592,0.0001486,0.0001486,0.0001486
88,1976.9,1.2699,0.61663,0.82482,0.94883,0.9049,0.93941,0.48786,1.71245,0.76868,0.89474,0.0001387,0.0001387,0.0001387
89,1999.24,1.22274,0.59623,0.82137,0.96346,0.8921,0.94142,0.48714,1.70936,0.77195,0.89516,0.0001288,0.0001288,0.0001288
90,2021.63,1.23616,0.59271,0.82711,0.96144,0.88586,0.93614,0.49252,1.71947,0.76879,0.8945,0.0001189,0.0001189,0.0001189
91,2043.03,1.23207,0.58337,0.84199,0.96898,0.88691,0.93594,0.48724,1.70561,0.77178,0.89503,0.000109,0.000109,0.000109
92,2064.62,1.181,0.55456,0.83703,0.95706,0.89192,0.9339,0.49155,1.70413,0.76915,0.89413,9.91e-05,9.91e-05,9.91e-05
93,2085.83,1.17838,0.56845,0.83383,0.96089,0.90127,0.93683,0.49601,1.68452,0.75843,0.89438,8.92e-05,8.92e-05,8.92e-05
94,2107.22,1.12797,0.52919,0.83184,0.95779,0.91001,0.94134,0.50078,1.6876,0.75087,0.89602,7.93e-05,7.93e-05,7.93e-05
95,2128.67,1.13332,0.53556,0.83921,0.9486,0.90468,0.93323,0.4936,1.70467,0.75338,0.8972,6.94e-05,6.94e-05,6.94e-05
96,2150.2,1.11924,0.52878,0.83035,0.96231,0.89807,0.93961,0.49701,1.70301,0.75871,0.89674,5.95e-05,5.95e-05,5.95e-05
97,2171.64,1.11295,0.53403,0.83127,0.95316,0.90004,0.93339,0.49828,1.70404,0.7603,0.89788,4.96e-05,4.96e-05,4.96e-05
98,2192.94,1.11668,0.52658,0.82482,0.95294,0.90032,0.93078,0.49746,1.69333,0.75962,0.89738,3.97e-05,3.97e-05,3.97e-05
99,2214.28,1.09202,0.51413,0.83122,0.94936,0.9041,0.93301,0.49732,1.7012,0.75272,0.89755,2.98e-05,2.98e-05,2.98e-05
100,2235.55,1.09852,0.51599,0.82776,0.95317,0.91064,0.93471,0.49935,1.69143,0.75177,0.89611,1.99e-05,1.99e-05,1.99e-05
